"ind_date_anchor","ind_obs_note","ind_place","ind_num_Death: Overdose Death","ind_num_Death: Illicit Opioid Overdose","ind_num_CSRS: Patients Receiving Buprenorphine","ind_num_CSRS: Patients Receiving Opioids","ind_num_DMH: Treatment Services","ind_num_DSS: Foster Care due to Parental SU","ind_num_ED Visits: Overdose ED Visit","ind_denom_Death: Overdose Death","ind_denom_Death: Illicit Opioid Overdose","ind_denom_CSRS: Patients Receiving Buprenorphine","ind_denom_CSRS: Patients Receiving Opioids","ind_denom_DMH: Treatment Services","ind_denom_DSS: Foster Care due to Parental SU","ind_denom_ED Visits: Overdose ED Visit","ind_rate_Death: Overdose Death","ind_rate_Death: Illicit Opioid Overdose","ind_rate_CSRS: Patients Receiving Buprenorphine","ind_rate_CSRS: Patients Receiving Opioids","ind_rate_DMH: Treatment Services","ind_rate_DSS: Foster Care due to Parental SU","ind_rate_ED Visits: Overdose ED Visit"
"2011",NA,"Gates",1,0,NA,NA,NA,NA,NA,12043,1,NA,NA,NA,NA,NA,8.3,0,NA,NA,NA,NA,NA
"2011",NA,"Graham",1,0,NA,NA,NA,NA,NA,8811,1,NA,NA,NA,NA,NA,11.3,0,NA,NA,NA,NA,NA
"2011",NA,"Granville",6,0,NA,NA,NA,NA,NA,57503,6,NA,NA,NA,NA,NA,10.4,0,NA,NA,NA,NA,NA
"2011",NA,"Greene",3,0,NA,NA,NA,NA,NA,21514,3,NA,NA,NA,NA,NA,13.9,0,NA,NA,NA,NA,NA
"2011",NA,"Guilford",48,2,NA,NA,NA,NA,NA,494953,48,NA,NA,NA,NA,NA,9.7,4.166666667,NA,NA,NA,NA,NA
"2011",NA,"Halifax",5,1,NA,NA,NA,NA,NA,54114,5,NA,NA,NA,NA,NA,9.2,20,NA,NA,NA,NA,NA
"2011",NA,"Harnett",13,1,NA,NA,NA,NA,NA,119178,13,NA,NA,NA,NA,NA,10.9,7.692307692,NA,NA,NA,NA,NA
"2011",NA,"Haywood",4,0,NA,NA,NA,NA,NA,58726,4,NA,NA,NA,NA,NA,6.8,0,NA,NA,NA,NA,NA
"2011",NA,"Henderson",15,6,NA,NA,NA,NA,NA,107370,15,NA,NA,NA,NA,NA,14,40,NA,NA,NA,NA,NA
"2011",NA,"Hertford",0,0,NA,NA,NA,NA,NA,24718,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2011",NA,"Hoke",8,1,NA,NA,NA,NA,NA,49468,8,NA,NA,NA,NA,NA,16.2,12.5,NA,NA,NA,NA,NA
"2011",NA,"Hyde",0,0,NA,NA,NA,NA,NA,5798,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
